n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
33YC,2247,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2014,7,SC,7,US,20260207,20260207,20140328,4,1,V,
33ZG,10316,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,DE,1,US,20241211,20241211,20241116,4,1,V,
3403D,11723,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,8,MN,C,US,20260813,,,4,1,M,
3404,2155,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,FL,7,US,20230401,20201117,20200915,4,1,V,
340CD,1354,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,CA,4,US,20230317,20200924,20050318,4,1,V,
340SP,1241,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,TX,2,US,20250422,20250422,20160211,4,1,V,
3411B,10736,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,WI,C,US,20250723,20250723,20250615,4,1,V,
341EY,4571,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,7,MA,E,US,20230407,20171229,20171213,4,1,V,
341MA,9943,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,DE,1,US,20240711,20240711,20240508,4,1,V,
341TD,0570,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2024,7,RI,E,US,20260312,20240909,20240819,4,5,V,
341TF,0786,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,,8,MN,C,US,20260313,,,4,5,M,
341TM,2364,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,CO,S,US,20241021,20211014,20210720,4,1,V,
3427B,10868,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,4,NJ,1,US,20251019,20251019,20250823,4,1,V,
3427D,5099,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,1,MA,E,US,20250923,20250923,20211027,4,1,V,
342AC,3051,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,GA,7,US,20230930,20170110,20080611,4,1,V,
342CD,9812,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,GA,7,US,20240409,20240409,20240312,4,1,V,
342CZ,11342,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2026,8,MN,C,US,20260217,,20260422,4,1,M,
342ED,0485,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,AR,2,US,20260511,20250519,20130404,4,1,V,
342GF,4342,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,FL,7,US,20260227,20170120,20160505,4,1,V,
342SR,2342,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,WI,C,US,20231007,20070416,20070131,4,1,V,
342TT,1236,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,1,CA,4,US,20260607,20260607,20041222,4,1,V,
3434T,0479,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,CO,S,US,20251212,20251212,20130320,4,1,V,
343AK,0229,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2020,7,IA,3,US,20250519,20250519,20201202,4,5,V,
343AZ,10578,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,AZ,4,US,20250522,20250521,20250326,4,1,V,
343BF,9380,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,VA,1,US,20250824,20250324,20230813,4,1,V,
343BM,11220,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,WA,S,US,20260505,20260505,20260221,4,1,V,
343BP,2340,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,TX,2,US,20230728,20190415,20070126,4,1,V,
343CB,9851,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,OH,C,US,20241217,20241217,20240322,4,1,V,
343CD,1343,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,DE,1,US,20240321,20100414,20050304,4,1,V,
343RJ,8643,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,LA,2,US,20230915,20230322,20220520,4,1,V,
343ST,4264,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,FL,7,US,20241001,20241001,20151103,4,1,V,
343TX,0112,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,7,MT,S,US,20240520,20240520,20110323,4,1,V,
3442T,3710,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,7,AR,2,US,20230804,20220528,20101214,4,1,V,
344A,2888,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,TX,2,US,20230317,20200903,20071220,4,1,V,
344CD,0156,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,3,OK,2,US,20230122,20140606,20020214,4,1,V,
344DD,2504,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2019,7,SC,7,US,20260429,20260429,20190627,4,1,V,
344DG,2362,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2017,7,WA,S,US,20230804,20220526,20170712,4,1,V,
